player_name,runs,balls,wickets,boundaries,strike_rate
S Pandey,228,1029,39,9,22.16
Preeti Bose,2,24,1,0,8.33
Ahmed Raza,162,1115,34,8,14.53
Mohammad Naveed,225,816,38,25,27.57
Amjad Javed,322,713,36,32,45.16
Mohammad Shahzad (2),106,169,5,12,62.72
Rohan Mustafa,1041,1796,63,116,57.96
Mohammed Qasim,38,58,1,2,65.52
Fareed Ahmad,79,601,42,5,13.14
Aftab Alam,21,236,10,0,8.9
Shaiman Anwar,1007,787,0,118,127.95
Rameez Shahzad,441,386,0,47,114.25
Amjad Gul,31,32,0,4,96.88
Muhammad Usman,739,643,0,78,114.93
Hazratullah,1240,904,0,173,137.17
Atif Ali Khan,2,24,1,0,8.33
Muhammed Shanil,2,27,0,0,7.41
Imran Haider,20,202,8,0,9.9
Ghulam Shabber,183,161,0,22,113.66
MJ Guptill,3731,2702,0,484,138.08
KW Richardson,62,798,47,1,7.77
LRPL Taylor,2050,1628,0,197,125.92
AC Agar,346,1344,54,28,25.74
TA Blundell,96,98,0,10,97.96
MP Stoinis,1275,1592,48,150,80.09
DA Warner,3440,2388,0,460,144.05
DJM Short,681,671,4,86,101.49
CA Lynn,319,232,0,42,137.5
GJ Maxwell,2804,2762,46,351,101.52
AT Carey,244,220,0,26,110.91
JM Vince,476,369,0,61,129.0
MS Chapman,1606,1277,4,190,125.76
TL Seifert,1359,989,0,171,137.41
HG Munsey,2214,1500,0,323,147.6
KJ Coetzer,1361,1089,2,183,124.98
CS MacLeod,1109,1105,3,108,100.36
RD Berrington,1955,1892,22,210,103.33
Waqas Barkat,308,502,6,22,61.35
CD Wallace,108,108,0,10,100.0
MRJ Watt,328,1658,81,25,19.78
BTJ Wheal,61,492,26,1,12.4
JH Davey,158,712,36,11,22.19
SM Sharif,285,1526,82,15,18.68
Waqas Khan,182,202,0,11,90.1
CD de Lange,47,189,12,4,24.87
SW Poynter,251,213,0,27,117.84
Dawlat Zadran,172,827,44,10,20.8
WB Rankin,171,1193,60,6,14.33
Gulbadin Naib,999,1412,34,110,70.75
A Poulose,11,16,0,2,68.75
MP O'Dowd,1968,1667,4,236,118.06
Zeeshan Maqsood,1396,2184,54,177,63.92
T van der Gugten,218,972,51,16,22.43
PA van Meekeren,287,1526,84,12,18.81
Aqib Ilyas,1255,1715,45,151,73.18
Khawar Ali,577,1175,42,69,49.11
Ahsan Malik,72,541,39,2,13.31
MJG Rippon,179,431,18,16,41.53
RE van der Merwe,510,1435,61,48,35.54
AV Lalcheta,99,363,7,10,27.27
Khurram Nawaz,269,218,0,28,123.39
Sultan Ahmed,180,570,21,14,31.58
Naseem Khushi,672,401,0,90,167.58
SJ Myburgh,847,706,0,117,119.97
Bilal Khan,130,1648,112,1,7.89
BN Cooper,1233,957,0,145,128.84
W Barresi,830,728,2,89,114.01
Kaleemullah,162,876,36,9,18.49
Mohammad Nadeem,511,1098,33,41,46.54
PW Borren,598,832,15,71,71.88
C Carter,57,63,0,3,90.48
Zahoor Khan,122,1164,69,1,10.48
MH Cross,1153,967,0,129,119.23
PM Seelaar,615,1502,49,51,40.95
TP Visee,528,351,0,84,150.43
MA Leask,808,1284,40,87,62.93
CB Sole,69,380,17,2,18.16
Mehran Khan,321,651,24,26,49.31
Nawroz Mangal,497,483,4,55,102.9
Mehedi Hasan Miraz,339,643,14,32,52.72
Shafiul Islam,56,448,23,2,12.5
Mohammad Saifuddin,287,1024,45,23,28.03
BE Hendricks,61,457,26,1,13.35
R Frylinck,2,61,5,0,3.28
Mushfiqur Rahim,1520,1300,0,159,116.92
AM Phangiso,33,377,21,1,8.75
Liton Das,2112,1648,0,265,128.16
Mohammad Hafeez,2639,3374,65,324,78.22
Shadab Khan,769,2628,121,78,29.26
JO Holder,610,1793,73,58,34.02
Kamran Akmal,1024,829,0,128,123.52
Ahmed Shehzad,1570,1332,0,190,117.87
Fakhar Zaman,1936,1437,0,248,134.73
MDKJ Perera,2031,1509,0,241,134.59
NLTC Perera,1343,1976,59,152,67.97
JN Mohammed,96,118,0,10,81.36
HC Knight,2084,2184,18,243,95.42
SJ Taylor,1371,1181,0,153,116.09
TT Beaumont,1914,1651,0,236,115.93
NR Sciver,2037,3096,78,207,65.79
KH Brunt,698,2229,102,51,31.31
DN Wyatt,2945,2720,31,383,108.27
SE Aley,7,29,0,0,24.14
DM Kimmince,198,969,49,7,20.43
FC Wilson,341,330,0,24,103.33
JL Gunn,231,1005,52,14,22.99
D Hazell,131,1253,58,6,10.45
S Ecclestone,396,2244,137,32,17.65
A Hartley,80,149,3,2,53.69
RL Haynes,694,570,0,74,121.75
A Shrubsole,255,1501,92,10,16.99
TP Ura,1567,999,0,197,156.86
VV Morea,36,40,0,4,90.0
L Siaka,703,681,7,74,103.23
A Vala,1292,1559,36,142,82.87
S Bau,975,1147,14,100,85.0
MD Dai,109,263,4,4,41.44
JNT Vare,72,71,0,4,101.41
JB Reva,24,151,9,2,15.89
N Vanua,760,1438,61,68,52.85
WT Gavera,11,110,5,0,10.0
A Nao,105,408,21,8,25.74
CA Soper,171,633,29,8,27.01
L Sreekumar,0,1,0,0,0.0
Adnan Mufti,7,7,0,0,100.0
Noor Ali Zadran,551,525,0,58,104.95
Javed Ahmadi,7,7,0,1,100.0
S Dhawan,1858,1439,0,241,129.12
KD Karthik,722,509,0,99,141.85
Kuldeep Yadav,100,941,70,2,10.63
AD Mathews,1522,2400,49,142,63.42
SMA Priyanjan,57,63,0,3,90.48
I Udana,319,857,32,30,37.22
A Dananjaya,101,796,32,7,12.69
AK Kitchen,39,69,2,4,56.52
DAJ Bracewell,158,417,22,15,37.89
SHA Rance,18,188,13,0,9.57
SD Hope,806,589,0,99,136.84
SS Cottrell,157,1018,57,2,15.42
RR Emrit,27,124,5,1,21.77
SO Hetmyer,975,805,0,110,121.12
Umar Amin,149,128,0,19,116.41
Haris Sohail,220,213,0,19,103.29
Faheem Ashraf,379,1032,39,37,36.72
Aamer Yamin,18,43,2,2,41.86
BCJ Cutting,48,160,5,5,30.0
GD Elliott,193,354,16,15,54.52
DJG Sammy,675,1353,51,77,49.89
Sohail Khan,11,89,5,0,12.36
PD Collingwood,613,705,16,62,86.95
Usman Shinwari,31,320,17,0,9.69
GJ Bailey,481,350,0,57,137.43
DT Christian,139,381,16,13,36.48
NM Coulter-Nile,206,724,36,20,28.45
JP Behrendorff,31,340,19,0,9.12
MJ Swepson,41,180,11,3,22.78
UT Yadav,38,212,14,2,17.92
JT Ball,8,45,2,0,17.78
DL Chahar,81,585,32,8,13.85
S Kaul,3,60,5,0,5.0
TWM Latham,541,488,0,50,110.86
HM Nicholls,103,114,0,9,90.35
Mohammed Siraj,38,379,15,1,10.03
AF Milne,171,1226,64,7,13.95
SS Iyer,1132,831,0,134,136.22
MD Gunathilaka,821,772,6,99,106.35
S Samarawickrama,338,291,0,35,116.15
ML Udawatte,77,75,0,9,102.67
SS Pathirana,36,124,5,3,29.03
PC de Silva,22,34,0,1,64.71
CJ Dala,37,233,13,1,15.88
H Klaasen,987,695,0,117,142.01
SN Thakur,111,569,37,9,19.51
C Jonker,58,30,0,8,193.33
MVT Fernando,2,14,0,0,14.29
PVD Chameera,225,1365,59,10,16.48
N Pradeep,39,309,17,1,12.62
Washington Sundar,238,1131,52,21,21.04
HK Matthews,2483,3747,110,330,66.27
SS Weerakkody,138,401,8,9,34.41
DJS Dottin,1896,2159,55,230,87.82
SR Taylor,3004,3875,71,352,77.52
HHC Gunaratne,11,161,6,0,6.83
HASD Siriwardene,785,1858,53,63,42.25
Kycia A Knight,578,650,0,50,88.92
MR Aguilleira,372,443,0,26,83.97
B Cooper,429,497,0,49,86.32
Kyshona A Knight,416,524,0,33,79.39
BYA Mendis,470,514,0,64,91.44
SC Selman,104,996,42,3,10.44
MDN Hansika,85,130,0,5,65.38
A Mohammed,91,1271,57,3,7.16
RS Vandort,59,77,0,2,76.62
ASS Fletcher,287,1807,87,18,15.88
Aiman Anwer,77,711,23,2,10.83
Nashra Sandhu,68,1506,72,1,4.52
SRH Curtis,0,2,0,0,0.0
Nahida Khan,461,568,0,46,81.16
Sidra Ameen,1018,1103,0,104,92.29
Natalia Pervaiz,97,189,3,6,51.32
HM Rowe,200,603,26,14,33.17
L Lee,1726,1501,0,249,114.99
P Vastrakar,439,1514,65,39,29.0
D van Niekerk,1662,2753,59,184,60.37
S Luus,1395,2124,39,143,65.68
RP Yadav,136,1717,103,5,7.92
M du Preez,1264,1264,0,130,100.0
Poonam Yadav,33,1286,78,0,2.57
N de Klerk,644,1490,49,52,43.22
CL Tryon,1175,1825,34,138,64.38
M Kapp,1531,3020,87,137,50.7
S Ismail,270,2004,95,13,13.47
M Daniels,48,679,25,0,7.07
JI Rodrigues,2191,1957,1,256,111.96
A Khaka,141,1329,51,2,10.61
R Ntozakhe,4,156,2,0,2.56
M Klaas,100,975,44,2,10.26
T Bhatia,133,158,0,12,84.18
RS Gayakwad,31,1015,55,0,3.05
R Dhar,22,109,4,1,20.18
DB Sharma,1213,3549,143,97,34.18
Z Mali,6,140,4,0,4.29
L Wolvaardt,2022,1702,0,247,118.8
HNK Jensen,223,1054,55,15,21.16
T Brits,1629,1503,0,196,108.38
S Lackay,16,43,2,0,37.21
AE Jones,1591,1277,0,197,124.59
NE Farrant,34,296,16,0,11.49
B Bezuidenhout,268,253,0,32,105.93
KE Ebrahim,3,47,2,0,6.38
KL George,7,87,3,0,8.05
JM Watkin,127,204,7,21,62.25
Hamza Tahir,19,358,22,0,5.31
AC Evans,92,742,45,1,12.4
Hussain Talat,415,385,4,42,107.79
Asif Ali,647,491,1,69,131.77
DE Budge,70,74,1,5,94.59
Zakir Hasan,18,21,0,1,85.71
DSK Madushanka,7,35,2,0,20.0
BMAJ Mendis,253,402,12,24,62.94
Afif Hossain,1198,1178,13,120,101.7
Ariful Haque,66,71,1,4,92.96
Nazmul Islam,28,254,8,2,11.02
Abu Jayed,11,77,4,0,14.29
Mahedi Hasan,392,1371,40,34,28.59
LD Chandimal,1123,1044,0,113,107.57
Mohammad Mithun,135,138,0,14,97.83
MA Aponso,0,62,4,0,0.0
S Molineux,104,869,42,6,11.97
NJ Carey,87,489,20,4,17.79
BF Smith,149,184,2,23,80.98
AN Davidson-Richards,53,136,4,2,38.97
V Shankar,122,212,7,16,57.55
RAS Lakmal,28,231,9,1,12.12
Abu Hider,86,271,6,9,31.73
Mujeeb Ur Rahman,117,1075,62,9,10.88
SF Mire,267,277,1,36,96.39
Sharafuddin Ashraf,69,341,9,5,20.23
BRM Taylor,980,830,1,118,118.07
RP Burl,1462,2082,53,140,70.22
KM Jarvis,106,543,28,5,19.52
B Muzarabani,183,1415,73,6,12.93
Karim Sadiq,492,766,11,58,64.23
SS Connell,157,1318,56,4,11.91
NC Dodd,13,13,0,2,100.0
R Boyce,23,30,0,2,76.67
AK Peters,17,54,1,0,31.48
KA Heffernan,3,39,1,0,7.69
TD Smartt,113,539,21,4,20.96
CN Nation,572,672,3,48,85.12
MAA Sanjeewani,764,811,0,65,94.2
Diana Baig,124,1022,39,1,12.13
HIS Mendis,74,88,0,5,84.09
NND de Silva,1162,1318,12,90,88.16
Ghulam Fatima,12,111,2,1,10.81
OU Ranasinghe,410,1430,57,24,28.67
Kainat Imtiaz,150,285,8,10,52.63
Fareeha Mehmood,8,19,0,0,42.11
KMA Paul,241,668,26,21,36.08
V Permaul,2,5,0,0,40.0
D Ramdin,680,573,0,70,118.67
OF Smith,255,632,29,25,40.35
Shaheen Shah Afridi,314,1721,104,18,18.25
AM McCarthy,5,20,0,0,25.0
PHKD Mendis,402,425,2,51,94.59
DM de Silva,897,1046,18,89,85.76
JL Denly,136,192,7,16,70.83
PKD Chase,37,285,15,1,12.98
Simi Singh,348,1259,45,26,27.64
A Balbirnie,2453,1961,0,318,125.09
MJ McClenaghan,82,654,30,3,12.54
Shahid Afridi,1701,3227,107,192,52.71
S Lamichhane,170,1351,107,5,12.58
Sompal Kami,456,1675,78,37,27.22
B Regmi,43,387,23,2,11.11
Karan KC,576,1725,100,58,33.39
RN ten Doeschate,490,491,11,40,99.8
LN Rajbanshi,31,498,24,0,6.22
P Khadka,773,873,12,99,88.55
SA Edwards,915,724,0,92,126.38
Saqib Zulfiqar,38,74,1,1,51.35
BFW de Leede,779,1193,33,70,65.3
Sikander Zulfiqar,42,84,2,3,50.0
S Snater,31,236,14,1,13.14
FJ Klaassen,116,904,45,2,12.83
SG Whittingham,4,64,4,0,6.25
CAK Rajitha,79,481,17,2,16.42
K Rabada,301,1616,79,19,18.63
L Ngidi,127,961,66,4,13.22
J Nyumbu,8,47,0,1,17.02
TS Chisoro,76,378,12,4,20.11
TK Musakanda,205,167,0,21,122.75
CB Mpofu,120,720,32,4,16.67
C Zhuwao,37,42,0,6,88.1
WP Masakadza,257,1200,46,17,21.42
NJ Maddinson,48,36,0,7,133.33
JD Wildermuth,5,23,1,0,21.74
B Mavuta,93,300,10,6,31.0
Sahibzada Farhan,62,64,0,7,96.88
GL Cloete,15,15,0,2,100.0
HE van der Dussen,1267,965,0,125,131.3
SC Williams,1757,2509,52,200,70.03
Mohammad Rizwan,3466,2693,0,371,128.7
JN Malan,244,188,0,36,129.79
L Sipamla,21,180,7,1,11.67
DW Steyn,115,1092,69,2,10.53
WIA Fernando,359,380,0,34,94.47
AK Perera,62,74,0,6,83.78
JDF Vandersay,33,321,8,3,10.28
AK Markram,1410,1284,13,176,109.81
Nahida Akter,200,1865,107,9,10.72
Jahanara Alam,189,1111,49,5,17.01
Panna Ghosh,55,467,26,1,11.78
Rumana Ahmed,684,1789,72,64,38.23
Khadija Tul Kubra,21,566,32,0,3.71
Fahima Khatun,403,1534,56,29,26.27
Salma Khatun,375,1749,77,24,21.44
Sanjida Islam,357,415,0,34,86.02
Shamima Sultana,840,852,0,115,98.59
Fargana Hoque,1016,1139,0,88,89.2
Nigar Sultana,2001,2109,0,199,94.88
Murshida Khatun,1001,1089,0,101,91.92
G Wareham,320,1241,70,35,25.79
BR McDermott,349,347,0,30,100.58
KK Ahmed,43,424,17,0,10.14
KH Pandya,167,530,15,14,31.51
MA Starc,315,1664,83,6,18.93
CMA Shillington,492,489,0,61,100.61
MV Waldron,442,531,0,38,83.24
CNIM Joyce,448,523,0,43,85.66
GH Lewis,2275,1964,2,318,115.84
IMHC Joyce,482,1057,17,40,45.6
SM Kavanagh,310,341,0,25,90.91
L Delany,1282,2739,84,99,46.81
AJ Kenealy,26,193,2,2,13.47
Rachel Delaney,48,154,4,2,31.17
L Maritz,133,453,17,7,29.36
C Murray,103,857,41,2,12.02
KJ Garth,641,1334,29,46,48.05
EAJ Richardson,639,1557,56,68,41.04
Ayasha Rahman,549,685,0,58,80.15
CJ Metcalfe,26,415,23,0,6.27
Abul Hasan,8,59,5,1,13.56
N Chantam,1161,1367,0,134,84.93
N Boochatham,673,2203,99,57,30.55
N Chaiwai,1171,1414,0,87,82.81
LK O'Reilly,124,574,29,2,21.6
S Tippoch,304,1172,42,19,25.94
N Koncharoenkai,1295,1491,0,126,86.85
C Sutthiruang,768,1884,61,61,40.76
R Padunglerd,93,464,21,4,20.04
W Liengprasert,128,306,11,4,41.83
S Laomi,129,1053,49,6,12.25
R Ntono,80,122,0,5,65.57
KE Bryce,1421,2232,58,161,63.66
R Musamali,677,1221,21,44,55.45
S Kemigisha,1,3,0,0,33.33
RV Scholes,37,163,9,1,22.7
J Mbabazi,655,1729,64,60,37.88
PA Chatterji,512,1238,29,37,41.36
I Nakisuuyi,631,1127,30,65,55.99
G Candiru,61,155,2,3,39.35
K McGill,228,715,40,11,31.89
F Najjumba,111,196,2,7,56.63
K Awino,603,826,0,51,73.0
HRA Rainey,66,518,20,0,12.74
AH Maqsood,91,1099,58,0,8.28
JM Apio,35,98,8,0,35.71
C Namugenyi,7,68,1,0,10.29
C Aweko,157,1344,88,8,11.68
SJ Bryce,1356,1238,0,147,109.53
L Jack,604,672,0,48,89.88
SL Kalis,1189,1194,4,124,99.58
Roopa Nagraj,15,53,1,1,28.3
HDJ Siegers,817,999,15,90,81.78
CR Seneviratna,406,966,40,23,42.03
S Venkataraman,85,370,23,5,22.97
D Hannema,122,139,0,1,87.77
Chaya Mughal,578,1567,40,37,36.89
Nisha Ali,120,195,4,14,61.54
KKN Egodage,1845,2745,42,165,67.21
H Hotchandani,187,667,25,10,28.04
Humaira Tasneem,49,151,8,1,32.45
R Rijke,952,1251,26,90,76.1
CC van Slobbe,29,136,7,1,21.32
ER Oza,2189,2969,71,268,73.73
L Klokgieters,13,86,4,1,15.12
MEC de Fouw,13,77,4,0,16.88
Mariska Kornet,6,104,3,0,5.77
UCKA Dona,73,99,0,4,73.74
S Jimmy,456,1007,41,38,45.28
K John,86,124,0,7,69.35
B Tau,531,561,0,55,94.65
P Siaka,146,230,2,11,63.48
T Ruma,688,716,0,67,96.09
K Arua,281,772,32,17,36.4
V Frank,101,146,0,9,69.18
